Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Chave 
579;10/07/2004;4;9;15;17;34;39;220200
580;14/07/2004;15;16;18;28;38;47;31110
581;17/07/2004;14;17;25;30;39;52;22101
582;21/07/2004;13;29;40;45;51;59;11112
583;24/07/2004;6;7;20;41;43;55;210021
584;28/07/2004;7;8;23;30;32;53;202101
585;31/07/2004;12;24;33;36;39;57;11301
586;04/08/2004;11;13;38;39;45;54;20211
587;07/08/2004;2;18;29;30;36;60;112101
588;11/08/2004;11;13;45;46;53;55;20022
589;14/08/2004;6;7;8;13;33;59;310101
590;18/08/2004;4;5;18;25;28;51;212001
591;21/08/2004;1;3;18;34;50;58;210111
592;25/08/2004;13;14;42;47;55;59;20022
593;28/08/2004;1;25;27;29;49;59;103011
594;01/09/2004;10;13;29;47;53;55;111012
595;04/09/2004;1;2;25;43;50;54;201021
596;08/09/2004;11;14;28;43;54;60;21012
597;11/09/2004;22;27;29;40;42;56;3111
598;15/09/2004;5;16;34;38;50;53;110211
599;18/09/2004;4;6;9;23;45;51;301011
600;22/09/2004;16;18;31;34;39;54;20301
601;25/09/2004;10;19;22;29;30;37;113100
602;29/09/2004;7;13;38;46;55;60;110112
603;02/10/2004;4;8;11;12;29;44;221010
604;06/10/2004;15;25;41;46;49;51;11031
605;09/10/2004;4;24;44;49;52;53;101022
606;13/10/2004;6;23;32;35;41;55;101211
607;16/10/2004;6;11;19;27;41;59;121011
608;20/10/2004;6;13;19;24;30;37;122100
609;23/10/2004;2;6;15;58;59;60;210003
610;27/10/2004;25;30;43;45;47;49;2040
611;30/10/2004;16;21;22;33;48;49;12120
612;03/11/2004;15;18;33;50;53;55;20112
613;06/11/2004;6;13;19;44;54;55;120012
614;10/11/2004;12;16;31;48;57;60;20112
615;13/11/2004;5;8;10;27;31;51;301101
616;17/11/2004;2;12;16;24;26;54;122001
617;20/11/2004;3;5;25;33;36;49;201210
618;24/11/2004;3;8;10;13;24;60;311001
619;27/11/2004;8;12;14;16;19;46;140010
620;01/12/2004;1;3;13;22;29;32;212100
621;04/12/2004;26;29;31;49;50;57;2121
622;08/12/2004;19;27;29;38;50;59;12111
623;11/12/2004;9;23;30;42;49;55;102021
624;15/12/2004;8;23;34;39;43;52;101211
625;18/12/2004;12;24;32;40;42;59;11211
626;22/12/2004;7;8;18;22;39;49;211110
627;29/12/2004;1;13;19;45;56;58;120012
628;05/01/2005;8;16;22;30;56;58;112002
629;08/01/2005;15;16;39;40;47;51;20211
630;12/01/2005;12;16;20;45;53;60;30012
631;15/01/2005;1;20;28;32;44;47;111120
632;19/01/2005;2;19;28;48;51;54;111012
633;22/01/2005;5;11;22;27;46;50;112020
634;26/01/2005;10;13;24;41;42;56;111021
635;29/01/2005;8;20;26;37;42;49;111120
636;02/02/2005;26;28;30;32;34;50;3210
637;05/02/2005;11;18;43;48;52;58;20022
638;12/02/2005;10;11;36;41;42;50;110130
639;16/02/2005;13;35;39;45;51;60;10212
640;19/02/2005;12;19;42;46;59;60;20022
641;23/02/2005;1;9;13;17;33;34;220200
642;26/02/2005;17;36;40;44;51;56;10212
643;02/03/2005;14;24;37;40;42;45;11220
644;05/03/2005;14;27;29;31;34;57;12201
645;09/03/2005;3;24;48;52;53;54;101013
646;12/03/2005;10;13;32;47;49;60;110121
647;16/03/2005;11;12;14;19;54;56;40002
648;19/03/2005;5;23;29;42;45;48;102030
649;23/03/2005;9;24;33;41;48;54;101121
650;26/03/2005;10;24;25;29;53;59;103002
651;30/03/2005;26;28;39;45;48;60;2121
652;02/04/2005;10;18;20;24;56;57;121002
653;06/04/2005;5;9;19;24;31;34;211200
654;09/04/2005;6;10;11;40;41;56;210111
655;13/04/2005;1;26;37;39;43;48;101220
656;16/04/2005;35;36;37;46;51;59;312
657;20/04/2005;16;20;33;58;59;60;20103
658;23/04/2005;3;6;11;20;36;41;220110
659;27/04/2005;14;29;34;40;51;52;11202
660;30/04/2005;5;11;38;46;53;54;110112
661;04/05/2005;4;27;36;40;42;55;101211
662;07/05/2005;4;18;23;25;56;60;112002
663;11/05/2005;1;27;30;49;51;55;102012
664;14/05/2005;1;12;36;38;55;59;110202
665;18/05/2005;7;8;18;25;47;48;211020
666;21/05/2005;7;16;26;29;45;55;112011
667;25/05/2005;1;4;5;16;23;49;311010
668;28/05/2005;1;2;14;33;49;56;210111
669;01/06/2005;7;24;27;40;41;49;102120
670;04/06/2005;22;37;42;48;58;59;1122
671;08/06/2005;9;16;27;38;39;51;111201
672;11/06/2005;24;28;34;38;43;53;2211
673;15/06/2005;6;11;20;34;37;40;120300
674;18/06/2005;18;22;29;32;38;42;12210
675;22/06/2005;24;25;30;42;43;50;3030
676;25/06/2005;9;15;32;41;42;49;110130
677;29/06/2005;8;10;25;32;48;55;201111
678;02/07/2005;14;31;40;42;44;46;10230
679;06/07/2005;3;21;25;37;54;58;102102
680;09/07/2005;2;3;5;22;26;44;302010
681;13/07/2005;21;25;38;53;58;59;2103
682;16/07/2005;4;27;36;37;47;60;101211
683;20/07/2005;2;11;12;35;40;43;120210
684;23/07/2005;17;19;33;37;40;50;20310
685;27/07/2005;5;12;27;33;43;56;111111
686;30/07/2005;4;5;15;26;33;54;211101
687;03/08/2005;1;7;14;41;48;59;210021
688;06/08/2005;11;21;30;35;47;52;12111
689;10/08/2005;6;7;31;49;51;60;200112
690;13/08/2005;8;12;15;41;47;53;120021
691;17/08/2005;8;16;37;50;55;58;110112
692;20/08/2005;11;18;33;57;58;60;20103
693;24/08/2005;13;14;17;31;41;50;30120
694;27/08/2005;15;19;29;37;41;53;21111
695;31/08/2005;6;11;13;21;40;52;121101
696;03/09/2005;9;16;34;37;53;57;110202
697;10/09/2005;28;31;32;35;51;53;1302
698;14/09/2005;8;12;22;27;43;55;112011
699;19/09/2005;17;23;48;50;53;54;11022
700;21/09/2005;2;3;14;24;31;40;211200
701;24/09/2005;1;13;23;31;48;60;111111
702;28/09/2005;1;18;45;56;57;58;110013
703;01/10/2005;2;11;24;27;30;45;113010
704;05/10/2005;2;4;18;27;34;50;211110
705;08/10/2005;3;11;13;15;26;43;131010
706;15/10/2005;2;7;10;17;22;60;311001
707;19/10/2005;1;8;10;36;43;51;300111
708;22/10/2005;7;9;13;39;45;47;210120
709;26/10/2005;4;6;9;22;29;44;302010
710;29/10/2005;5;25;34;39;46;49;101220
711;05/11/2005;5;10;33;40;41;59;200211
712;09/11/2005;7;8;35;43;53;58;200112
713;12/11/2005;1;12;16;26;46;54;121011
714;16/11/2005;7;8;17;35;39;53;210201
715;19/11/2005;4;12;24;33;36;54;111201
716;23/11/2005;2;7;16;29;32;50;211110
717;26/11/2005;6;17;23;28;35;41;112110
718;30/11/2005;7;21;33;35;39;58;101301
719;03/12/2005;3;32;37;39;47;53;100311
720;07/12/2005;12;31;44;51;54;56;10113
721;10/12/2005;3;14;23;25;36;55;112101
722;14/12/2005;9;18;36;44;57;60;110112
723;17/12/2005;1;6;16;36;50;52;210111
724;21/12/2005;17;27;34;48;51;55;11112
725;31/12/2005;3;9;35;37;41;49;200220
726;04/01/2006;1;5;7;37;40;47;300210
727;07/01/2006;4;12;14;30;42;59;121011
728;11/01/2006;8;13;24;32;42;44;111120
729;14/01/2006;5;18;33;43;56;57;110112
730;18/01/2006;2;15;16;45;50;54;120021
731;21/01/2006;6;15;16;23;28;35;122100
732;25/01/2006;6;17;19;49;50;53;120021
733;28/01/2006;2;12;26;31;43;46;111120
734;01/02/2006;27;29;43;44;45;54;2031
735;04/02/2006;9;15;38;40;42;52;110211
736;08/02/2006;1;21;38;41;49;56;101121
737;11/02/2006;11;12;24;32;33;38;21300
738;15/02/2006;14;15;26;30;42;54;22011
739;18/02/2006;6;10;35;45;49;56;200121
740;22/02/2006;12;16;28;29;47;50;22020
741;25/02/2006;24;26;27;36;39;59;3201
742;01/03/2006;2;7;17;34;41;50;210120
743;04/03/2006;20;23;25;32;54;60;12102
744;08/03/2006;4;12;23;26;39;46;112110
745;11/03/2006;2;16;21;37;43;57;111111
746;15/03/2006;1;10;12;25;49;57;211011
747;18/03/2006;2;3;12;21;23;56;212001
748;22/03/2006;1;2;7;19;35;51;310101
749;25/03/2006;4;24;47;48;50;57;101031
750;29/03/2006;10;17;33;42;54;58;110112
751;01/04/2006;4;7;20;25;38;50;211110
752;05/04/2006;4;23;24;25;29;42;104010
753;08/04/2006;2;7;22;35;43;59;201111
754;12/04/2006;3;4;13;34;42;50;210120
755;15/04/2006;4;12;30;47;49;59;111021
756;19/04/2006;5;27;37;38;41;50;101220
757;22/04/2006;12;17;18;30;32;58;31101
758;26/04/2006;1;23;36;43;47;59;101121
759;29/04/2006;30;31;39;45;48;59;1221
760;03/05/2006;12;17;44;45;46;60;20031
761;06/05/2006;13;17;27;29;40;56;22101
762;10/05/2006;9;12;21;37;39;54;111201
763;13/05/2006;1;9;26;40;47;48;201120
764;18/05/2006;3;7;45;47;53;55;200022
765;21/05/2006;3;10;16;30;37;50;211110
766;24/05/2006;1;19;24;42;50;58;111021
767;27/05/2006;15;22;32;38;50;54;11211
768;31/05/2006;4;8;30;33;37;59;201201
769;03/06/2006;12;16;20;21;29;50;32010
770;07/06/2006;4;12;25;34;35;48;111210
771;10/06/2006;14;21;29;34;46;47;12120
772;14/06/2006;10;35;38;51;52;60;100203
773;17/06/2006;3;5;14;29;34;51;211101
774;21/06/2006;5;10;37;46;54;58;200112
775;24/06/2006;12;27;42;46;47;50;11040
776;28/06/2006;3;15;35;41;57;60;110112
777;01/07/2006;2;14;23;28;50;56;112011
778;05/07/2006;20;31;36;37;45;51;10311
779;08/07/2006;25;26;29;36;52;54;3102
780;12/07/2006;7;10;28;50;51;59;201012
781;15/07/2006;8;10;13;39;54;56;210102
782;19/07/2006;2;11;23;35;42;59;111111
783;22/07/2006;4;8;21;32;43;48;201120
784;26/07/2006;8;27;37;42;53;56;101112
785;29/07/2006;5;8;17;35;37;48;210210
786;02/08/2006;10;11;26;27;31;41;112110
787;05/08/2006;20;31;34;37;54;60;10302
788;09/08/2006;17;19;29;31;44;57;21111
789;12/08/2006;6;31;38;39;50;60;100311
790;16/08/2006;2;6;19;22;28;43;212010
791;19/08/2006;9;14;19;35;42;58;120111
792;23/08/2006;9;29;34;43;45;56;101121
793;26/08/2006;3;15;16;33;51;57;120102
794;30/08/2006;3;38;42;47;55;56;100122
795;02/09/2006;14;21;26;29;36;48;13110
796;06/09/2006;5;19;24;34;39;43;111210
797;09/09/2006;6;12;47;48;52;58;110022
798;13/09/2006;3;4;9;29;32;52;301101
799;16/09/2006;19;29;35;42;55;57;11112
800;20/09/2006;1;7;11;37;38;56;210201
801;23/09/2006;11;19;20;22;42;48;31020
802;27/09/2006;6;14;18;24;48;60;121011
803;30/09/2006;3;5;10;21;28;57;302001
804;04/10/2006;3;13;37;47;56;59;110112
805;07/10/2006;2;30;36;43;48;60;101121
806;12/10/2006;18;26;35;41;47;60;11121
807;14/10/2006;2;8;27;32;49;56;201111
808;18/10/2006;2;15;21;31;46;57;111111
809;21/10/2006;5;11;15;23;25;30;123000
810;25/10/2006;1;4;5;33;37;48;300210
811;28/10/2006;10;28;32;41;47;57;101121
812;01/11/2006;11;13;38;39;54;57;20202
813;04/11/2006;9;15;23;45;46;56;111021
814;08/11/2006;2;8;11;41;46;50;210030
815;11/11/2006;9;19;37;39;50;57;110211
816;16/11/2006;20;21;30;40;47;52;12111
817;18/11/2006;10;29;30;34;43;52;102111
818;22/11/2006;8;9;22;25;41;44;202020
819;25/11/2006;5;19;25;46;51;58;111012
820;29/11/2006;10;17;21;32;45;46;111120
821;02/12/2006;4;29;33;36;38;42;101310
822;06/12/2006;4;10;17;27;41;52;211011
823;09/12/2006;1;15;26;51;54;59;111003
824;13/12/2006;6;7;9;20;33;48;310110
825;16/12/2006;10;21;28;40;41;47;102120
826;19/12/2006;6;7;8;27;45;53;301011
827;21/12/2006;18;24;30;42;51;56;12012
828;23/12/2006;23;28;38;42;50;53;2121
829;31/12/2006;10;14;32;47;50;56;110121
830;03/01/2007;2;13;41;49;51;53;110022
831;06/01/2007;3;32;33;42;48;50;100230
832;10/01/2007;15;17;23;33;39;49;21210
833;13/01/2007;13;16;46;53;57;58;20013
834;17/01/2007;10;16;17;34;44;51;120111
835;20/01/2007;18;31;33;49;57;58;10212
836;24/01/2007;17;22;28;38;52;59;12102
837;27/01/2007;5;6;16;24;34;60;211101
838;31/01/2007;9;23;30;38;44;47;102120
839;03/02/2007;7;8;11;18;37;43;220110
840;07/02/2007;17;29;31;35;43;59;11211
841;10/02/2007;7;22;32;36;38;51;101301
842;14/02/2007;7;9;30;44;51;60;201012
843;17/02/2007;1;16;34;36;45;48;110220
844;24/02/2007;16;24;34;44;54;57;11112
845;28/02/2007;14;19;20;40;48;52;30111
846;03/03/2007;2;3;44;47;50;54;200031
847;07/03/2007;14;15;27;42;44;48;21030
848;10/03/2007;17;27;32;34;47;56;11211
849;14/03/2007;8;9;39;44;49;58;200121
850;17/03/2007;7;22;25;44;59;60;102012
851;21/03/2007;3;16;19;32;35;58;120201
852;24/03/2007;6;14;23;34;38;44;111210
853;28/03/2007;30;38;46;51;56;59;1113
854;31/03/2007;3;17;24;25;27;44;113010
855;04/04/2007;3;24;31;42;43;53;101121
856;07/04/2007;11;15;40;41;42;47;20130
857;11/04/2007;2;3;17;49;50;59;210021
858;14/04/2007;4;18;23;31;37;54;111201
859;18/04/2007;9;12;34;46;47;57;110121
860;23/04/2007;2;8;17;22;42;44;211020
861;25/04/2007;39;40;42;47;59;60;222
862;28/04/2007;2;8;11;12;19;35;230100
863;02/05/2007;15;24;32;50;53;57;11112
864;05/05/2007;8;11;31;33;42;57;110211
865;09/05/2007;23;26;27;41;51;53;3012
866;12/05/2007;5;27;36;40;46;48;101220
867;16/05/2007;10;19;26;28;44;54;112011
868;19/05/2007;21;22;25;40;51;57;3102
869;23/05/2007;27;29;42;49;50;51;2031
870;26/05/2007;8;21;34;40;43;52;101211
871;30/05/2007;1;5;10;17;47;58;310011
872;02/06/2007;5;18;31;43;55;58;110112
873;06/06/2007;4;19;30;34;57;59;111102
874;09/06/2007;10;20;42;44;52;59;110022
875;13/06/2007;18;20;24;36;53;58;21102
876;16/06/2007;4;8;12;41;45;60;210021
877;20/06/2007;13;15;20;28;31;36;31200
878;23/06/2007;11;12;37;38;43;54;20211
879;27/06/2007;10;28;29;35;42;46;102120
880;30/06/2007;25;30;37;46;49;51;2121
881;04/07/2007;4;18;24;43;51;56;111012
882;07/07/2007;17;41;42;44;45;60;10041
883;11/07/2007;21;32;37;52;53;60;1203
884;14/07/2007;2;11;12;14;22;39;131100
885;18/07/2007;4;13;31;33;47;51;110211
886;21/07/2007;17;33;37;50;55;59;10212
887;25/07/2007;1;12;21;32;34;44;111210
888;28/07/2007;24;40;50;52;54;60;1113
889;01/08/2007;20;24;34;39;54;60;11202
890;04/08/2007;7;9;17;21;22;54;212001
891;08/08/2007;15;16;19;22;34;35;31200
892;11/08/2007;1;19;42;44;49;52;110031
893;15/08/2007;3;18;26;51;53;56;111003
894;18/08/2007;20;24;28;37;41;44;12120
895;22/08/2007;2;41;43;55;57;58;100023
896;25/08/2007;5;11;22;31;35;41;111210
897;29/08/2007;7;21;22;43;46;57;102021
898;01/09/2007;3;4;8;30;45;54;301011
899;05/09/2007;18;20;36;53;54;58;20103
900;08/09/2007;4;18;21;34;38;59;111201
901;12/09/2007;13;16;32;33;34;56;20301
902;15/09/2007;18;23;50;52;55;58;11013
903;19/09/2007;5;17;20;32;41;55;120111
904;22/09/2007;32;44;48;51;53;59;123
905;26/09/2007;2;4;15;16;55;57;220002
906;29/09/2007;7;14;24;29;35;39;112200
907;03/10/2007;9;36;37;41;51;53;100212
908;06/10/2007;1;9;19;25;50;52;211011
909;10/10/2007;17;22;26;28;38;42;13110
910;13/10/2007;3;15;27;29;36;53;112101
911;17/10/2007;1;6;28;29;46;49;202020
912;20/10/2007;4;19;21;26;29;54;113001
913;24/10/2007;14;30;36;38;46;59;11211
914;27/10/2007;9;12;23;33;45;51;111111
915;31/10/2007;17;20;26;28;48;49;22020
916;03/11/2007;5;28;33;36;37;38;101400
917;07/11/2007;23;25;30;46;47;59;3021
918;10/11/2007;4;8;12;38;44;52;210111
919;14/11/2007;3;25;31;41;43;60;101121
920;17/11/2007;5;17;24;52;55;57;111003
921;21/11/2007;1;9;35;41;48;57;200121
922;24/11/2007;12;13;19;41;45;49;30030
923;28/11/2007;2;15;39;50;53;57;110112
924;01/12/2007;2;20;21;27;51;60;112002
925;05/12/2007;8;22;36;37;46;52;101211
926;08/12/2007;21;33;34;40;41;59;1311
927;12/12/2007;19;23;26;31;33;36;12300
928;15/12/2007;4;10;32;33;49;60;200211
929;19/12/2007;16;27;35;39;49;57;11211
930;22/12/2007;20;28;37;46;49;55;11121
931;31/12/2007;7;17;19;34;36;39;120300
932;05/01/2008;2;17;21;36;42;53;111111
933;09/01/2008;8;14;25;39;45;51;111111
934;12/01/2008;1;3;21;25;44;48;202020
935;16/01/2008;7;13;18;29;31;45;121110
936;19/01/2008;5;14;22;29;33;44;112110
937;23/01/2008;2;21;22;30;41;52;103011
938;26/01/2008;15;27;35;50;57;59;11112
939;30/01/2008;6;19;23;37;49;50;111120
940;02/02/2008;5;25;31;33;37;51;101301
941;06/02/2008;10;11;15;27;53;60;121002
942;09/02/2008;5;8;18;42;52;59;210012
943;13/02/2008;3;12;23;41;47;58;111021
944;16/02/2008;16;37;43;52;58;59;10113
945;20/02/2008;4;8;27;44;54;59;201012
946;23/02/2008;1;5;12;47;52;59;210012
947;27/02/2008;3;5;11;14;33;58;220101
948;01/03/2008;22;41;44;46;52;54;1032
949;05/03/2008;1;23;41;44;51;52;101022
950;08/03/2008;23;41;42;48;49;59;1041
951;12/03/2008;14;24;34;39;49;55;11211
952;15/03/2008;2;11;18;27;30;54;122001
953;19/03/2008;1;16;39;42;48;55;110121
954;22/03/2008;5;8;18;24;33;57;211101
955;26/03/2008;5;12;21;32;33;35;111300
956;29/03/2008;46;47;51;54;57;59;24
957;02/04/2008;24;25;32;34;50;57;2211
958;05/04/2008;7;13;22;33;48;51;111111
959;09/04/2008;3;5;11;33;39;57;210201
960;12/04/2008;6;18;19;33;34;53;120201
961;16/04/2008;2;4;16;21;36;53;211101
962;19/04/2008;2;11;40;48;49;55;110121
963;23/04/2008;15;17;37;48;50;59;20121
964;26/04/2008;8;13;20;26;33;42;121110
965;30/04/2008;5;30;36;39;57;58;101202
966;03/05/2008;1;4;26;28;41;58;202011
967;07/05/2008;5;13;14;18;30;57;131001
968;10/05/2008;1;4;13;30;51;60;211002
969;14/05/2008;13;25;35;41;50;56;11121
970;17/05/2008;5;21;28;34;54;57;102102
971;21/05/2008;4;11;14;33;44;45;120120
972;24/05/2008;15;18;31;33;34;56;20301
973;28/05/2008;1;8;30;36;47;53;201111
974;31/05/2008;12;16;20;31;38;45;30210
975;04/06/2008;9;30;33;37;40;41;101310
976;07/06/2008;14;23;25;28;38;53;13101
977;11/06/2008;3;5;7;9;17;32;410100
978;14/06/2008;12;16;18;27;42;58;31011
979;18/06/2008;3;15;28;31;39;51;111201
980;21/06/2008;15;17;29;35;36;59;21201
981;25/06/2008;1;8;34;41;53;58;200112
982;28/06/2008;8;12;24;40;43;49;111120
983;02/07/2008;16;22;32;38;40;45;11310
984;05/07/2008;4;10;20;43;46;47;210030
985;09/07/2008;4;16;18;46;56;59;120012
986;12/07/2008;6;15;19;24;31;32;121200
987;16/07/2008;13;27;31;34;47;58;11211
988;19/07/2008;8;17;46;48;56;60;110022
989;23/07/2008;2;21;27;29;32;38;103200
990;26/07/2008;2;10;15;18;29;39;221100
991;30/07/2008;8;9;15;38;41;60;210111
992;02/08/2008;1;4;6;8;25;28;402000
993;06/08/2008;5;24;25;26;42;60;103011
994;09/08/2008;3;20;29;40;44;58;111111
995;13/08/2008;4;16;31;36;54;55;110202
996;16/08/2008;7;15;20;21;23;29;123000
997;20/08/2008;9;17;18;32;53;55;120102
998;23/08/2008;3;4;21;22;28;32;203100
999;27/08/2008;18;24;36;44;55;58;11112
1000;30/08/2008;29;38;39;49;53;58;1212
1001;03/09/2008;12;15;27;37;51;60;21102
1002;06/09/2008;3;7;25;31;40;58;201201
1003;10/09/2008;5;10;16;23;26;27;213000
1004;13/09/2008;29;40;43;44;45;47;1140
1005;17/09/2008;4;6;12;37;41;42;210120
1006;20/09/2008;2;4;17;33;48;55;210111
1007;24/09/2008;4;27;36;37;49;52;101211
1008;27/09/2008;7;13;15;34;42;48;120120
1009;01/10/2008;1;6;12;29;34;58;211101
1010;04/10/2008;2;3;13;37;46;54;210111
1011;08/10/2008;2;11;21;30;35;52;112101
1012;11/10/2008;14;19;40;47;55;58;20112
1013;15/10/2008;7;9;12;19;20;41;230010
1014;18/10/2008;8;9;25;41;57;60;201012
1015;22/10/2008;3;8;17;26;28;49;212010
1016;25/10/2008;5;9;11;20;25;60;221001
1017;29/10/2008;6;19;31;34;51;56;110202
1018;01/11/2008;9;24;44;51;55;58;101013
1019;05/11/2008;4;13;23;29;46;47;112020
1020;08/11/2008;1;2;19;32;39;52;210201
1021;12/11/2008;2;33;42;43;51;55;100122
1022;16/11/2008;5;21;31;39;40;56;101301
1023;19/11/2008;2;7;8;18;40;45;310110
1024;22/11/2008;18;22;28;29;39;53;13101
1025;26/11/2008;10;27;28;29;40;52;103101
1026;29/11/2008;6;10;17;33;51;53;210102
1027;03/12/2008;18;20;33;44;47;60;20121
1028;06/12/2008;20;26;34;51;52;54;11103
1029;10/12/2008;5;16;17;20;24;32;131100
1030;13/12/2008;1;8;23;37;54;57;201102
1031;17/12/2008;24;33;40;43;46;49;1230
1032;20/12/2008;15;16;26;29;43;57;22011
1033;24/12/2008;5;6;17;33;39;54;210201
1034;27/12/2008;1;3;18;20;42;49;220020
1035;31/12/2008;1;11;26;51;59;60;111003
1036;03/01/2009;10;27;36;39;41;52;101211
1037;07/01/2009;4;36;44;46;53;56;100122
1038;10/01/2009;6;7;28;35;43;51;201111
1039;14/01/2009;2;20;24;27;36;52;112101
1040;17/01/2009;1;6;28;39;44;55;201111
1041;21/01/2009;10;12;36;44;54;57;110112
1042;24/01/2009;13;18;25;30;46;51;22011
1043;28/01/2009;14;21;25;48;51;60;12012
1044;31/01/2009;10;11;13;35;39;58;120201
1045;04/02/2009;1;5;6;17;31;50;310110
1046;07/02/2009;28;40;42;54;55;57;1113
1047;11/02/2009;1;2;8;10;14;48;410010
1048;14/02/2009;3;16;21;28;38;57;112101
1049;18/02/2009;2;5;17;29;34;52;211101
1050;21/02/2009;14;24;26;33;45;60;12111
1051;25/02/2009;7;10;11;13;43;57;220011
1052;28/02/2009;8;11;15;16;52;57;130002
1053;04/03/2009;15;27;34;42;49;53;11121
1054;07/03/2009;13;14;18;27;41;60;31011
1055;11/03/2009;12;15;16;20;27;32;41100
1056;14/03/2009;6;8;38;50;53;59;200112
1057;18/03/2009;2;3;4;15;49;59;310011
1058;21/03/2009;18;20;24;45;51;57;21012
1059;25/03/2009;1;12;14;16;37;45;130110
1060;28/03/2009;1;3;16;18;41;42;220020
1061;01/04/2009;9;21;23;30;41;56;103011
1062;04/04/2009;2;8;23;33;37;55;201201
1063;08/04/2009;1;22;44;47;49;50;101040
1064;11/04/2009;4;16;19;28;29;49;122010
1065;15/04/2009;7;19;30;39;43;57;111111
1066;18/04/2009;6;10;25;32;43;49;201120
1067;22/04/2009;4;10;14;25;28;56;212001
1068;25/04/2009;25;27;44;47;48;57;2031
1069;29/04/2009;9;17;28;45;49;53;111021
1070;02/05/2009;5;8;16;23;41;53;211011
1071;06/05/2009;5;7;37;43;53;54;200112
1072;09/05/2009;9;18;19;43;47;54;120021
1073;13/05/2009;8;25;32;34;36;44;101310
1074;16/05/2009;3;10;23;29;47;50;202020
1075;20/05/2009;10;12;16;21;39;53;121101
1076;23/05/2009;4;10;19;32;33;42;210210
1077;27/05/2009;5;6;9;11;18;37;320100
1078;30/05/2009;3;6;34;41;43;45;200130
1079;03/06/2009;5;12;24;28;36;37;112200
1080;06/06/2009;11;18;20;34;41;56;30111
1081;10/06/2009;9;16;24;29;52;56;112002
1082;13/06/2009;4;17;38;40;50;55;110211
1083;17/06/2009;10;20;23;28;42;43;112020
1084;20/06/2009;5;20;29;33;40;59;111201
1085;24/06/2009;12;21;39;40;50;55;11211
1086;27/06/2009;2;4;6;10;23;45;401010
1087;01/07/2009;3;20;28;32;36;46;111210
1088;04/07/2009;6;24;31;35;42;57;101211
1089;08/07/2009;2;18;20;32;37;48;120210
1090;11/07/2009;9;20;24;36;40;42;111210
1091;15/07/2009;17;23;24;27;49;56;13011
1092;18/07/2009;1;9;30;33;34;40;201300
1093;22/07/2009;19;23;27;38;41;49;12120
1094;25/07/2009;9;10;21;36;41;48;201120
1095;29/07/2009;10;16;21;23;27;36;113100
1096;01/08/2009;3;13;14;16;41;52;130011
1097;05/08/2009;1;17;21;33;48;56;111111
1098;08/08/2009;11;20;21;30;50;52;22011
1099;12/08/2009;14;31;35;38;44;55;10311
1100;15/08/2009;7;17;18;33;41;42;120120
1101;19/08/2009;6;7;10;12;24;57;311001
1102;22/08/2009;9;11;23;35;46;51;111111
1103;26/08/2009;10;19;28;41;55;56;111012
1104;29/08/2009;2;3;6;35;49;58;300111
1105;02/09/2009;1;15;28;43;50;57;111021
1106;05/09/2009;4;15;43;47;50;60;110031
1107;09/09/2009;3;9;20;36;53;54;210102
1108;12/09/2009;7;9;39;43;44;60;200121
1109;16/09/2009;6;8;11;14;29;52;221001
1110;19/09/2009;6;14;26;28;42;45;112020
1111;23/09/2009;4;9;25;32;33;43;201210
1112;26/09/2009;4;32;34;43;52;58;100212
1113;30/09/2009;3;6;29;36;47;59;201111
1114;03/10/2009;3;15;16;22;25;54;122001
1115;07/10/2009;18;30;37;41;44;50;11130
1116;10/10/2009;4;9;13;17;20;47;230010
1117;14/10/2009;1;6;17;27;35;40;211200
1118;17/10/2009;8;20;21;43;44;55;111021
1119;21/10/2009;10;34;41;44;45;54;100131
1120;24/10/2009;7;35;40;44;50;55;100221
1121;28/10/2009;4;17;18;54;56;59;120003
1122;31/10/2009;26;44;46;49;55;56;1032
1123;04/11/2009;4;14;19;39;45;60;120111
1124;07/11/2009;7;11;16;18;33;49;130110
1125;11/11/2009;3;7;29;33;42;56;201111
1126;14/11/2009;4;31;42;52;57;59;100113
1127;18/11/2009;5;8;14;24;29;30;213000
1128;21/11/2009;8;16;24;39;52;60;111102
1129;25/11/2009;12;17;19;32;47;55;30111
1130;28/11/2009;5;18;23;32;49;54;111111
1131;02/12/2009;1;8;16;34;36;49;210210
1132;05/12/2009;12;27;30;33;52;55;12102
1133;09/12/2009;5;10;16;21;39;58;211101
1134;12/12/2009;9;22;29;36;51;56;102102
1135;16/12/2009;4;5;6;19;23;39;311100
1136;19/12/2009;7;31;32;34;37;43;100410
1137;22/12/2009;19;21;25;28;43;50;13020
1138;24/12/2009;2;4;15;18;25;36;221100
1139;26/12/2009;9;28;31;36;37;42;101310
1140;31/12/2009;10;27;40;46;49;58;101121
1141;02/01/2010;9;37;40;50;58;60;100212
1142;06/01/2010;3;15;26;28;31;58;112101
1143;09/01/2010;3;30;35;44;47;60;101121
1144;13/01/2010;1;10;18;19;44;49;220020
1145;16/01/2010;3;16;19;24;33;60;121101
1146;20/01/2010;6;10;28;33;34;53;201201
1147;23/01/2010;6;23;31;33;39;52;101301
1148;27/01/2010;27;28;29;32;48;55;3111
1149;30/01/2010;7;8;23;36;46;54;201111
1150;03/02/2010;15;17;28;31;35;52;21201
1151;06/02/2010;1;4;14;21;25;51;212001
1152;10/02/2010;14;20;29;36;44;47;21120
